EID	P.val.x	Eid_id.x	GROUP.x	ANATOMY.x	GR.x	Epigenome.Mnemonic.x	Standardized.Epigenome.name..from.Wouter..x	Epigenome.name..from.EDACC.Release.9.directory..x	TYPE.x	P.val.y	Eid_id.y	GROUP.y	ANATOMY.y	GR.y	Epigenome.Mnemonic.y	Standardized.Epigenome.name..from.Wouter..y	Epigenome.name..from.EDACC.Release.9.directory..y	TYPE.y	P.val	Eid_id	GROUP	ANATOMY	GR	Epigenome.Mnemonic	Standardized.Epigenome.name..from.Wouter.	Epigenome.name..from.EDACC.Release.9.directory.	TYPE
E097	0.000999000999000999	97	Other	OVARY	Other	OVRY	Ovary	Ovary	PrimaryTissue	0.000999000999000999	97	Other	OVARY	Other	OVRY	Ovary	Ovary	PrimaryTissue	NA	NA	NA	NA	NA	NA	NA	NA	NA
E099	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	99	Other	PLACENTA	Other	PLCNT.AMN	Placenta Amnion	Placenta_Amnion	PrimaryTissue	0.000999000999000999	99	Other	PLACENTA	Other	PLCNT.AMN	Placenta Amnion	Placenta_Amnion	PrimaryTissue
E100	0.000999000999000999	100	Muscle	MUSCLE	Muscle	MUS.PSOAS	Psoas Muscle	Psoas_Muscle	PrimaryTissue	0.000999000999000999	100	Muscle	MUSCLE	Muscle	MUS.PSOAS	Psoas Muscle	Psoas_Muscle	PrimaryTissue	NA	NA	NA	NA	NA	NA	NA	NA	NA
E101	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	101	Digestive	GI_RECTUM	Digestive	GI.RECT.MUC.29	Rectal Mucosa Donor 29	Rectal_Mucosa.Donor_29	PrimaryTissue	0.000999000999000999	101	Digestive	GI_RECTUM	Digestive	GI.RECT.MUC.29	Rectal Mucosa Donor 29	Rectal_Mucosa.Donor_29	PrimaryTissue
E102	0.000999000999000999	102	Digestive	GI_RECTUM	Digestive	GI.RECT.MUC.31	Rectal Mucosa Donor 31	Rectal_Mucosa.Donor_31	PrimaryTissue	0.000999000999000999	102	Digestive	GI_RECTUM	Digestive	GI.RECT.MUC.31	Rectal Mucosa Donor 31	Rectal_Mucosa.Donor_31	PrimaryTissue	NA	NA	NA	NA	NA	NA	NA	NA	NA
E103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.018981018981019	103	Sm. Muscle	GI_RECTUM	Other	GI.RECT.SM.MUS	Rectal Smooth Muscle	Rectal_Smooth_Muscle	PrimaryTissue
E104	0.000999000999000999	104	Heart	HEART	Heart	HRT.ATR.R	Right Atrium	Right_Atrium	PrimaryTissue	0.000999000999000999	104	Heart	HEART	Heart	HRT.ATR.R	Right Atrium	Right_Atrium	PrimaryTissue	0.021978021978022	104	Heart	HEART	Heart	HRT.ATR.R	Right Atrium	Right_Atrium	PrimaryTissue
E105	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001998001998002	105	Heart	HEART	Heart	HRT.VNT.R	Right Ventricle	Right_Ventricle	PrimaryTissue	0.046953046953047	105	Heart	HEART	Heart	HRT.VNT.R	Right Ventricle	Right_Ventricle	PrimaryTissue
E106	0.010989010989011	106	Digestive	GI_COLON	Digestive	GI.CLN.SIG	Sigmoid Colon	Sigmoid_Colon	PrimaryTissue	0.000999000999000999	106	Digestive	GI_COLON	Digestive	GI.CLN.SIG	Sigmoid Colon	Sigmoid_Colon	PrimaryTissue	NA	NA	NA	NA	NA	NA	NA	NA	NA
E109	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	109	Digestive	GI_INTESTINE	Digestive	GI.S.INT	Small Intestine	Small_Intestine	PrimaryTissue	NA	NA	NA	NA	NA	NA	NA	NA	NA
E110	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	110	Digestive	GI_STOMACH	Digestive	GI.STMC.MUC	Stomach Mucosa	Stomach_Mucosa	PrimaryTissue	NA	NA	NA	NA	NA	NA	NA	NA	NA
E111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.048951048951049	111	Sm. Muscle	GI_STOMACH	Other	GI.STMC.MUS	Stomach Smooth Muscle	Stomach_Smooth_Muscle	PrimaryTissue
E112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00599400599400599	112	Thymus	THYMUS	Other	THYM	Thymus	Thymus	PrimaryTissue
E113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003996003996004	113	Other	SPLEEN	Other	SPLN			
E114	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	114	ENCODE2012	LUNG	ENCODE2012	LNG.A549.ETOH002.CNCR	A549 EtOH 0.02pct Lung Carcinoma Cell Line	A549_EtOH_0.02pct_Lung_Carcinoma	CellLine	0.001998001998002	114	ENCODE2012	LUNG	ENCODE2012	LNG.A549.ETOH002.CNCR	A549 EtOH 0.02pct Lung Carcinoma Cell Line	A549_EtOH_0.02pct_Lung_Carcinoma	CellLine
E115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	115	ENCODE2012	BLOOD	ENCODE2012	BLD.DND41.CNCR	Dnd41 TCell Leukemia Cell Line	Dnd41_TCell_Leukemia	CellLine
E116	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.010989010989011	116	ENCODE2012	BLOOD	ENCODE2012	BLD.GM12878	GM12878 Lymphoblastoid Cells	GM12878_Lymphoblastoid	PrimaryCulture	0.001998001998002	116	ENCODE2012	BLOOD	ENCODE2012	BLD.GM12878	GM12878 Lymphoblastoid Cells	GM12878_Lymphoblastoid	PrimaryCulture
E117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	117	ENCODE2012	CERVIX	ENCODE2012	CRVX.HELAS3.CNCR	HeLa-S3 Cervical Carcinoma Cell Line	HeLa-S3_Cervical_Carcinoma	CellLine
E118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001998001998002	118	ENCODE2012	LIVER	ENCODE2012	LIV.HEPG2.CNCR	HepG2 Hepatocellular Carcinoma Cell Line	HepG2_Hepatocellular_Carcinoma	CellLine
E119	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	119	ENCODE2012	BREAST	ENCODE2012	BRST.HMEC	HMEC Mammary Epithelial Primary Cells	HMEC_Mammary_Epithelial	PrimaryCulture	0.00899100899100899	119	ENCODE2012	BREAST	ENCODE2012	BRST.HMEC	HMEC Mammary Epithelial Primary Cells	HMEC_Mammary_Epithelial	PrimaryCulture
E120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	120	ENCODE2012	MUSCLE	ENCODE2012	MUS.HSMM	HSMM Skeletal Muscle Myoblasts Cells	HSMM_Skeletal_Muscle_Myoblasts	PrimaryCulture
E121	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	121	ENCODE2012	MUSCLE	ENCODE2012	MUS.HSMMT	HSMM cell derived Skeletal Muscle Myotubes Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	PrimaryCulture	0.000999000999000999	121	ENCODE2012	MUSCLE	ENCODE2012	MUS.HSMMT	HSMM cell derived Skeletal Muscle Myotubes Cells	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM	PrimaryCulture
E122	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03996003996004	122	ENCODE2012	VASCULAR	ENCODE2012	VAS.HUVEC	HUVEC Umbilical Vein Endothelial Primary Cells	HUVEC_Umbilical_Vein_Endothelial_Cells	PrimaryCulture	0.011988011988012	122	ENCODE2012	VASCULAR	ENCODE2012	VAS.HUVEC	HUVEC Umbilical Vein Endothelial Primary Cells	HUVEC_Umbilical_Vein_Endothelial_Cells	PrimaryCulture
E123	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	123	ENCODE2012	BLOOD	ENCODE2012	BLD.K562.CNCR	K562 Leukemia Cells	K562_Leukemia	PrimaryCulture	0.000999000999000999	123	ENCODE2012	BLOOD	ENCODE2012	BLD.K562.CNCR	K562 Leukemia Cells	K562_Leukemia	PrimaryCulture
E124	0.000999000999000999	124	ENCODE2012	BLOOD	ENCODE2012	BLD.CD14.MONO	Monocytes-CD14+ RO01746 Primary Cells	Monocytes-CD14+_RO01746	PrimaryCell	0.000999000999000999	124	ENCODE2012	BLOOD	ENCODE2012	BLD.CD14.MONO	Monocytes-CD14+ RO01746 Primary Cells	Monocytes-CD14+_RO01746	PrimaryCell	0.000999000999000999	124	ENCODE2012	BLOOD	ENCODE2012	BLD.CD14.MONO	Monocytes-CD14+ RO01746 Primary Cells	Monocytes-CD14+_RO01746	PrimaryCell
E125	0.000999000999000999	125	ENCODE2012	BRAIN	ENCODE2012	BRN.NHA	NH-A Astrocytes Primary Cells	NH-A_Astrocytes	PrimaryCulture	0.000999000999000999	125	ENCODE2012	BRAIN	ENCODE2012	BRN.NHA	NH-A Astrocytes Primary Cells	NH-A_Astrocytes	PrimaryCulture	NA	NA	NA	NA	NA	NA	NA	NA	NA
E126	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.014985014985015	126	ENCODE2012	SKIN	ENCODE2012	SKIN.NHDFAD	NHDF-Ad Adult Dermal Fibroblast Primary Cells	NHDF-Ad_Adult_Dermal_Fibroblasts	PrimaryCulture	NA	NA	NA	NA	NA	NA	NA	NA	NA
E127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000999000999000999	127	ENCODE2012	SKIN	ENCODE2012	SKIN.NHEK	NHEK-Epidermal Keratinocyte Primary Cells	NHEK-Epidermal_Keratinocytes	PrimaryCulture
E128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.013986013986014	128	ENCODE2012	LUNG	ENCODE2012	LNG.NHLF	NHLF Lung Fibroblast Primary Cells	NHLF_Lung_Fibroblasts	PrimaryCulture
E129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002997002997003	129	ENCODE2012	BONE	ENCODE2012	BONE.OSTEO	Osteoblast Primary Cells	Osteoblasts	PrimaryCulture
